"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.688244533,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.616673977,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.644164091,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.067736397,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.092481064,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.415327871,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.216302313,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.276259202,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.01546504,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.314953096,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.34605072,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.786997745,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.880678161,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.12722835,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.395438784,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.660557888,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.750468621,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.233726766,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.302968296,
"KOR","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.329874547,
"KOR","QGDP","TOT","PC_CHGPP","Q","2023-Q2",0.588418476,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.731190533,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.440927257,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.235301091,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.541636855,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.439326484,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.699340282,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.517131432,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.206713961,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.693087597,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.78768268,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.354144593,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.045634878,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.777937746,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-2.119060089,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.877629694,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.580481852,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.825496592,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.612460401,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.577788876,
"AUS","QGDP","TOT","PC_CHGPP","Q","2023-Q1",0.23317027,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q2",2.434846662,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-1.224601853,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",2.670331951,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.619228742,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.424519614,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-1.09733248,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",2.787268386,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-6.052123546,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.668670574,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.140361555,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.874924009,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.38689818,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.418195593,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.642689582,
