"국가별",2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"국가별",수출,수입,수출,수입,수출,수입,수출,수입,수출,수입
"아시아",,,,,,,,,,
"대한민국",35.34,29.48,35.06,31.02,32.84,30.49,31.16,28.43,35.60,33.98
"이스라엘",17.21,19.46,16.58,20.50,14.70,19.25,12.32,17.01,12.49,19.14
"일본",14.16,13.63,14.65,14.86,13.77,14.07,12.72,12.61,-,-
"튀르키예",19.15,27.79,22.76,29.69,23.76,27.64,23.56,30.49,27.63,33.29
"북아메리카",,,,,,,,,,
"캐나다",25.51,26.90,26.22,27.19,25.76,26.56,23.74,25.53,25.49,25.30
"멕시코",35.33,37.29,36.87,39.01,36.28,36.82,38.36,36.18,38.22,40.41
"미국",7.94,12.36,8.11,12.74,7.69,12.01,6.82,11.52,7.63,12.77
"남아메리카",,,,,,,,,,
"칠레",24.90,23.60,25.33,25.26,24.69,25.07,29.31,23.43,29.86,29.08
"콜롬비아",11.83,14.77,12.50,15.33,12.22,16.31,11.47,16.09,12.82,19.44
"코스타리카",17.79,27.76,18.42,29.30,18.42,27.28,19.82,24.04,24.10,32.25
"유럽",,,,,,,,,,
"오스트리아",40.27,42.12,40.60,42.56,40.15,41.52,39.10,39.80,42.49,45.90
"벨기에",85.46,81.39,86.17,83.77,83.46,80.12,80.96,76.18,90.90,85.05
"덴마크",30.86,27.99,30.74,28.80,31.97,28.20,30.45,27.50,31.46,30.55
"에스토니아",54.07,61.93,55.81,62.77,51.86,58.06,53.38,56.58,59.34,65.11
"핀란드",26.63,27.61,27.52,28.52,27.36,27.45,24.36,25.11,27.40,28.72
"프랑스",20.63,23.87,20.86,24.24,20.92,23.99,18.58,22.10,19.91,24.31
"독일",39.24,31.51,39.24,32.29,38.30,31.74,35.94,30.46,38.64,33.62
"그리스",16.33,26.77,18.63,30.12,18.48,30.41,18.64,29.60,21.81,35.06
"헝가리",79.51,75.12,77.66,75.19,75.70,73.74,76.98,74.02,77.86,77.89
"아이슬란드",19.72,28.17,21.16,29.23,21.01,26.42,21.10,26.23,23.52,30.70
"아일랜드",40.95,27.78,42.80,27.96,42.50,25.33,42.29,23.44,38.09,23.91
"이탈리아",25.86,23.10,26.27,24.06,26.74,23.62,26.41,22.55,29.06,26.22
"라트비아",46.34,55.87,46.96,57.16,45.78,55.25,48.56,54.81,53.57,62.89
"리투아니아",62.61,67.55,62.02,67.91,60.61,65.38,58.10,58.99,-,-
"룩셈부르크",23.98,34.81,23.02,33.91,23.44,34.57,18.87,28.85,19.17,29.77
"네덜란드",78.20,68.91,79.50,70.62,77.85,69.84,73.82,65.12,82.15,74.43
"노르웨이",25.37,20.39,27.87,19.82,25.39,21.07,23.32,22.21,33.06,20.18
"폴란드",44.51,44.41,44.87,45.79,44.63,44.41,45.90,43.85,50.13,50.20
"포르투갈",28.07,35.58,28.21,36.75,27.94,37.31,26.91,34.08,30.09,39.10
"슬로바키아",87.44,85.56,88.46,87.96,85.02,85.48,82.38,80.24,90.15,90.10
"슬로베니아",79.11,74.25,81.61,78.04,82.95,81.23,83.66,78.80,92.73,93.45
"스페인",24.34,26.82,24.40,27.49,23.98,26.76,24.06,25.45,26.97,29.34
"스웨덴",28.27,28.50,29.88,30.71,30.08,29.78,28.72,27.70,30.24,29.79
"스위스",42.53,38.30,42.25,38.00,42.90,37.97,42.45,38.81,46.77,39.87
"영국",16.34,23.75,16.77,23.18,15.98,24.19,14.49,23.15,14.69,21.77
"오세아니아",,,,,,,,,,
"오스트레일리아",17.42,17.24,18.00,16.48,19.47,15.92,18.89,15.95,22.35,16.93
"뉴질랜드",18.43,19.42,18.72,20.66,18.51,19.85,18.38,17.55,17.90,19.94
